epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8958,2.65497,4.56933,1.57312,0.00413,0.56522,0.00479,0.00127,2.3944,4.03632,1.31609,0.00022,0.00022,0.00022
2,88.97,2.37611,3.31371,1.31128,0.00492,0.67391,0.00671,0.00203,2.33669,3.71522,1.26449,0.000450892,0.000450892,0.000450892
3,134.13,2.38102,2.8556,1.31003,0.0046,0.63043,0.00526,0.00152,2.08883,3.79072,1.20589,0.00067228,0.00067228,0.00067228
4,178.301,2.13932,2.33017,1.25154,0.00492,0.67391,0.00584,0.00165,2.00696,3.75102,1.23185,0.000884164,0.000884164,0.000884164
5,221.434,2.07827,2.08976,1.27107,0.00413,0.56522,0.16361,0.06173,2.04699,3.54251,1.26123,0.00108654,0.00108654,0.00108654
6,268.922,2.00174,1.98056,1.20051,0.00429,0.58696,0.08266,0.01698,2.02366,3.57961,1.2514,0.00127942,0.00127942,0.00127942
7,309.462,2.02082,2.03945,1.27957,0.00476,0.65217,0.18923,0.06506,1.95959,3.36236,1.28307,0.00146279,0.00146279,0.00146279
8,349.772,2.0045,1.92965,1.20533,0.96029,0.06522,0.30956,0.12107,1.99171,3.06648,1.32213,0.00163666,0.00163666,0.00163666
9,390.169,1.88395,1.75245,1.1913,0.75167,0.39493,0.54444,0.23101,1.97218,2.37566,1.32591,0.0016832,0.0016832,0.0016832
10,431.561,1.78819,1.73078,1.22572,0.71895,0.54348,0.63857,0.26405,2.03141,2.03268,1.36434,0.0016436,0.0016436,0.0016436
11,470.31,1.90072,1.82299,1.21211,0.5616,0.52922,0.6152,0.27234,1.98518,1.96414,1.36673,0.001604,0.001604,0.001604
12,513.799,1.98031,1.80018,1.18291,0.53128,0.64074,0.64376,0.27497,2.01503,1.69749,1.36485,0.0015644,0.0015644,0.0015644
