epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6693,2.66863,4.52911,1.50394,0.00524,0.73333,0.00638,0.00215,2.26265,4.07227,1.43641,0.00022,0.00022,0.00022
2,84.0532,2.29655,3.43704,1.2839,0.00524,0.73333,0.00675,0.00232,2.12132,3.9134,1.40643,0.000450892,0.000450892,0.000450892
3,123.466,2.2342,2.7448,1.23767,0.00429,0.6,0.00435,0.00172,2.0899,4.04878,1.45999,0.00067228,0.00067228,0.00067228
4,167.885,2.25248,2.307,1.33738,0.00333,0.46667,0.0029,0.00123,1.96221,3.97884,1.45614,0.000884164,0.000884164,0.000884164
5,208.008,2.09981,2.33599,1.25311,0.00286,0.4,0.07648,0.02381,2.05702,3.73247,1.48665,0.00108654,0.00108654,0.00108654
6,253.046,2.1257,2.09346,1.24358,0.30685,0.13333,0.15341,0.06621,2.41766,3.45937,1.71017,0.00127942,0.00127942,0.00127942
7,297.614,2.05451,2.04705,1.2766,0.00381,0.53333,0.33635,0.14017,1.99817,3.46247,1.5275,0.00146279,0.00146279,0.00146279
8,359.698,2.11395,2.11671,1.17899,0.00333,0.46667,0.20735,0.09987,1.98407,3.66609,1.4786,0.00163666,0.00163666,0.00163666
9,411.369,2.05484,1.80388,1.23143,0.06322,0.06667,0.0231,0.01125,1.9685,3.57619,1.38908,0.0016832,0.0016832,0.0016832
10,461.349,1.80934,1.85482,1.1743,0.15914,0.06667,0.03835,0.02121,1.97196,3.51341,1.36679,0.0016436,0.0016436,0.0016436
11,506.886,1.88193,1.87007,1.17425,0.94913,0.33333,0.37934,0.19592,1.88747,2.43127,1.39659,0.001604,0.001604,0.001604
12,554.834,1.90069,1.82078,1.16389,0.97126,0.33333,0.4225,0.24652,1.83261,2.25919,1.42398,0.0015644,0.0015644,0.0015644
13,599.039,1.80642,1.68057,1.16988,0.71787,0.33333,0.37706,0.20254,2.00825,2.54671,1.4882,0.0015248,0.0015248,0.0015248
14,639.763,1.91364,1.79012,1.18704,0.45677,0.26667,0.29387,0.14296,2.06429,2.71121,1.47832,0.0014852,0.0014852,0.0014852
15,677.8,1.88025,1.59132,1.13871,0.55181,0.26667,0.2847,0.16536,2.10071,3.11395,1.47802,0.0014456,0.0014456,0.0014456
16,715.13,1.77394,1.54717,1.11583,0.68911,0.33333,0.33041,0.17261,1.97366,3.06956,1.41109,0.001406,0.001406,0.001406
17,752.994,1.6799,1.50865,1.06859,0.76025,0.26667,0.30283,0.14428,2.01465,2.53745,1.42692,0.0013664,0.0013664,0.0013664
18,790.613,1.68977,1.4835,1.14651,0.77883,0.26667,0.36202,0.1792,2.07448,2.29625,1.42998,0.0013268,0.0013268,0.0013268
19,828.718,1.59103,1.31937,1.0904,0.60921,0.33333,0.35274,0.20268,2.11982,2.25884,1.42641,0.0012872,0.0012872,0.0012872
20,866.573,1.63399,1.42791,1.08121,0.84063,0.33333,0.3868,0.22354,2.05848,2.31944,1.42304,0.0012476,0.0012476,0.0012476
21,905.25,1.67486,1.35257,1.10603,0.74628,0.4,0.44363,0.23766,2.03512,2.19735,1.39504,0.001208,0.001208,0.001208
22,942.443,1.54279,1.30264,1.06905,0.84426,0.4,0.43199,0.24092,2.03311,2.07342,1.41693,0.0011684,0.0011684,0.0011684
23,979.292,1.41444,1.20001,1.03479,0.41148,0.37408,0.33563,0.19433,2.06102,2.01915,1.48276,0.0011288,0.0011288,0.0011288
24,1016.94,1.52457,1.24014,1.11236,0.51885,0.26667,0.33301,0.19699,1.98964,2.07735,1.50206,0.0010892,0.0010892,0.0010892
25,1055.65,1.589,1.25141,1.11461,0.47753,0.42772,0.37679,0.23398,1.96788,2.02978,1.38249,0.0010496,0.0010496,0.0010496
26,1094.36,1.41962,1.20625,0.9983,0.67757,0.4,0.44963,0.25815,1.95637,1.94706,1.36935,0.00101,0.00101,0.00101
27,1135.89,1.52932,1.19562,1.03099,0.998,0.4,0.52683,0.3102,1.79499,1.80859,1.303,0.0009704,0.0009704,0.0009704
28,1178.18,1.36736,1.10303,0.99075,0.86381,0.4,0.52427,0.31125,1.75937,1.83489,1.3064,0.0009308,0.0009308,0.0009308
29,1229.4,1.42763,1.11389,1.02959,0.61142,0.53333,0.54683,0.31915,1.88278,1.90968,1.37952,0.0008912,0.0008912,0.0008912
30,1266.08,1.47898,1.14804,1.02315,0.60816,0.6,0.55302,0.31198,1.88964,1.87118,1.42327,0.0008516,0.0008516,0.0008516
31,1302.45,1.35662,1.02065,1.03231,0.61668,0.6,0.58123,0.33762,1.85328,1.70114,1.41085,0.000812,0.000812,0.000812
32,1339.25,1.41312,1.06895,0.98867,0.73945,0.56905,0.55789,0.32421,1.82797,1.65567,1.40425,0.0007724,0.0007724,0.0007724
33,1375.94,1.43874,1.05498,1.01711,0.69046,0.59519,0.60796,0.33729,1.83913,1.60951,1.34763,0.0007328,0.0007328,0.0007328
34,1412.2,1.32838,1.02853,1.01414,0.66233,0.66667,0.65823,0.37111,1.83149,1.60289,1.33128,0.0006932,0.0006932,0.0006932
35,1448.71,1.2963,0.97877,1.00225,0.6598,0.6,0.59323,0.36194,1.80338,1.53755,1.33544,0.0006536,0.0006536,0.0006536
36,1485.91,1.37085,0.99779,1.02362,0.54426,0.6,0.5557,0.32265,1.81257,1.53099,1.34958,0.000614,0.000614,0.000614
37,1523.41,1.35647,1.00985,0.96976,0.44719,0.6,0.4827,0.274,1.76824,1.55266,1.32007,0.0005744,0.0005744,0.0005744
38,1562.02,1.24115,0.9604,0.98516,0.42541,0.6,0.4797,0.27978,1.70901,1.54258,1.28344,0.0005348,0.0005348,0.0005348
39,1606.7,1.27193,0.98374,0.95956,0.69844,0.4,0.53863,0.31325,1.71904,1.66165,1.30259,0.0004952,0.0004952,0.0004952
40,1652.87,1.18686,0.95003,0.94335,0.6972,0.4,0.5204,0.31465,1.74062,1.72267,1.33039,0.0004556,0.0004556,0.0004556
41,1716.15,1.22948,1.10839,0.95077,0.55092,0.4,0.4529,0.27934,1.7073,1.80293,1.32723,0.000416,0.000416,0.000416
42,1784.35,1.27017,1.07823,0.98347,0.46065,0.4,0.43212,0.26446,1.6941,1.88108,1.33038,0.0003764,0.0003764,0.0003764
43,1848.7,1.23324,1.12683,0.92386,0.44369,0.4,0.37475,0.21638,1.76843,2.09023,1.35234,0.0003368,0.0003368,0.0003368
